cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2022-38533,section_size,0,0,0,,,2.39;2.38;2.37;2.40;2.41;2.42,,,,,6
CVE-2022-38533,segment_end,0,0,0,,,2.39;2.38;2.37;2.40;2.41;2.42,,,,,6
CVE-2022-38533,segment_size,0,0,0,,,2.39;2.38;2.37;2.40;2.41;2.42,,,,,6
CVE-2023-25586,bfd_init_section_decompress_status,3,3,0,,,,,,,2.40,4
CVE-2022-48063,load_specific_debug_section,5,2,3,,,,,,,2.40,6
CVE-2022-48064,find_debug_info,5,2,3,,,,,,,2.40,6
CVE-2022-48065,scan_unit_for_symbols,3,0,3,,2.41;2.42,,,,,2.40,6
CVE-2022-48065,find_abstract_instance,5,2,3,,,,,,,2.40,6
CVE-2023-1579,read_indexed_address,1,0,1,,2.41;2.42,,,,2.39;2.41;2.42,2.40,4
CVE-2018-17358,_bfd_stab_section_find_nearest_line,3,3,0,,,,,2.31.1,,,4
