cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,too_much_diff,cant_tell,no_diff,func_not_found,targets
CVE-2019-17541,ReadIPTCProfile,0,0,0,,,,,,,7.0.8-54;7.0.8-53;7.0.8-52;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2019-17547,TraceBezier,0,0,0,,,,7.0.8-61;7.0.8-60;7.0.8-59;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27750,PixelSyncIterator,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2020-27762,WriteHDRImage,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25664,WriteOnePNGImage,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.0.8-68;7.0.9-0;7.0.9-1,,,,6
CVE-2020-25665,WritePALMImage,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25674,WriteOnePNGImage,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27760,GammaImage,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27760,LevelPixel,0,0,0,,,,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27763,AcquireResizeFilter,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27758,ReadTXTImage,0,0,0,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27770,SubstituteString,0,0,0,,,,,7.0.8-67;7.0.8-66;7.0.8-65;7.1.0-0;7.1.0-1;7.1.0-2,,,6
CVE-2020-25663,SetImageAlphaChannel,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,7.0.8-55;7.0.8-54;7.0.8-53;7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2020-27756,ParseMetaGeometry,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27751,SetQuantumDepth,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,6
CVE-2020-27761,WritePALMImage,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25675,CropImageToTiles,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25675,CropImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2020-25676,InterpolatePixelInfo,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,InterpolatePixelChannel,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,InterpolatePixelChannels,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-25676,MeshInterpolate,0,0,0,,,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-25676,CatromWeights,0,0,0,,,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27765,OptimalTau,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27765,Classify,0,0,0,,,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27775,ApplyEvaluateOperator,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27774,ApplyEvaluateOperator,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27769,PosterizeImage,3,0,3,,7.1.0-0;7.1.0-1;7.1.0-2,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,6
CVE-2020-25666,HistogramCompare,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,6
CVE-2020-25667,TIFFGetProfiles,0,0,0,,,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-25667,TIFFGetEXIFProperties,0,0,0,,,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27772,WriteBMPImage,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27752,WriteOnePNGImage,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,WriteMIFFImage,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,PopRunlengthPacket,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,ReadMIFFImage,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-27753,PushRunlengthPacket,0,0,0,,,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6
CVE-2020-27755,SetImageExtent,0,0,0,,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,6
CVE-2019-18853,ReadSVGImage,0,0,0,,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,,,,6
CVE-2020-19667,ReadXPMImage,0,0,0,,,,7.0.10-7;7.0.10-8;7.0.10-9;7.0.10-10,,,,4
CVE-2021-3596,ReadSVGImage,0,0,0,,,,7.0.10-30;7.0.10-29;7.0.10-28;7.0.10-31;7.0.10-32;7.0.10-33,,,,6
CVE-2020-27560,OptimizeLayerFrames,0,0,0,,,,7.0.10-34;7.0.10-35;7.0.10-37;7.0.10-36,,,,4
CVE-2020-27829,ReadTIFFImage,0,0,0,,,,,,,7.0.10-44;7.0.10-43;7.0.10-42;7.0.10-46;7.0.10-47;7.0.10-48,6
CVE-2022-48541,MogrifyImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,AnimateImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,MontageImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,StreamImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,ConjureImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,IdentifyImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,CompareImagesCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,ConvertImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,ImportImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,DisplayImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2022-48541,CompositeImageCommand,0,0,0,,,,7.0.10-45;7.0.10-46;7.0.10-47;7.0.10-48,,,,4
CVE-2021-20176,GenerateDifferentialNoise,0,0,0,,,,,7.0.10-55;7.0.10-54;7.0.10-53;7.0.10-57;7.0.10-58;7.0.10-59,,,6
CVE-2021-20244,ImplodeImage,0,0,0,,,,7.0.10-61;7.0.10-60;7.0.10-59;7.0.10-62;7.0.11-0;7.0.11-1,,,,6
CVE-2021-20246,ScaleResampleFilter,0,0,0,,,,7.0.10-61;7.0.10-60;7.0.10-59;7.0.10-62;7.0.11-0;7.0.11-1,,,,6
CVE-2021-20311,EncipherAESBlock,3,3,0,,,,,7.0.10-62;7.0.10-61;7.0.10-60,,,6
CVE-2021-20311,PasskeyEncipherImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,TransformsRGBImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,PasskeyDecipherImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,RelinquishVirtualMemory,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6
CVE-2021-20311,sRGBTransformImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20311,WriteTHUMBNAILImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,EncipherAESBlock,3,3,0,,,,,7.0.10-62;7.0.10-61;7.0.10-60,,,6
CVE-2021-20312,PasskeyEncipherImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,TransformsRGBImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,PasskeyDecipherImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,RelinquishVirtualMemory,3,0,3,,7.0.11-2;7.0.11-3;7.0.11-4,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,6
CVE-2021-20312,sRGBTransformImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20312,WriteTHUMBNAILImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,EncipherAESBlock,3,3,0,,,,,7.0.10-62;7.0.10-61;7.0.10-60,,,6
CVE-2021-20313,PasskeyEncipherImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
CVE-2021-20313,TransformsRGBImage,0,0,0,,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,,,,6
