cve,funcname,succeed,tp,tn,false_positive,false_negative,failed_versions,no_diff,func_not_found,targets
CVE-2017-13030,pimv1_print,6,3,3,,,,,,6
CVE-2017-13030,pimv1_join_prune_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13030,pimv2_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13030,cisco_autorp_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13031,frag6_print,4,1,3,,4.99.0-bp;4.99-bp,,,,6
CVE-2017-13032,print_attr_string,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13033,vtp_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13034,pgm_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13035,isis_print_id,4,1,3,,4.99.0-bp;4.99-bp,,,,6
CVE-2017-13036,ospf6_decode_v3,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13037,ip_optprint,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13037,nextproto4_cksum,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13037,ip_printts,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13038,handle_mlppp,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13039,ikev1_t_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13039,ikev1_n_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13039,ikev2_t_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13039,ikev1_attrmap_print,6,3,3,,,,,,6
CVE-2017-13040,mp_capable_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13040,mp_join_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13041,icmp6_nodeinfo_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13042,dhcpv6_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13043,decode_multicast_vpn,3,0,3,,4.9.3,,,4.99.0-bp;4.99-bp,6
CVE-2017-13044,dhcpv4_print,0,0,0,,,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13045,vqp_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13046,bgp_attr_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13047,esis_print,0,0,0,,4.99.0-bp;4.99-bp,,,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-13048,rsvp_obj_print,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
CVE-2017-13049,ubik_print,3,3,0,4.9.1;4.9.0;4.8.1,,,,,6
CVE-2017-13050,indent_string,3,0,3,,4.9.3;4.99.0-bp;4.99-bp,,,,6
