project,cve_id,commit,function,basic_blocks,binary_file
tcpdump,CVE-2017-13053,bd4e697ebd6c,decode_rt_routing_info,28,CVE-2017-13053-patch-bd4e697ebd6c-tcpdump
tcpdump,CVE-2017-13045,3b36ec4e713d,vqp_print,66,CVE-2017-13045-patch-3b36ec4e713d-tcpdump
tcpdump,CVE-2017-12991,50a44b6b8e4f,bgp_attr_print,834,CVE-2017-12991-patch-50a44b6b8e4f-tcpdump
tcpdump,CVE-2017-13688,0cb1b8a434b5,olsr_print,258,CVE-2017-13688-patch-0cb1b8a434b5-tcpdump
tcpdump,CVE-2018-16227,4846b3c5d0a8,ieee802_11_print,64,CVE-2018-16227-patch-4846b3c5d0a8-tcpdump
tcpdump,CVE-2018-14461,aa5c6b710dfd,ldp_tlv_print,286,CVE-2018-14461-patch-aa5c6b710dfd-tcpdump
tcpdump,CVE-2018-14461,aa5c6b710dfd,ldp_pdu_print,74,CVE-2018-14461-patch-aa5c6b710dfd-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_result_code_print,18,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,print_32bits_val,3,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_framing_cap_print,10,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_packet_proc_delay_print,2,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_ppp_discon_cc_print,13,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_avp_print,98,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_bearer_type_print,10,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13006,cc4a7391c616,l2tp_bearer_cap_print,10,CVE-2017-13006-patch-cc4a7391c616-tcpdump
tcpdump,CVE-2017-13046,d10a0f980fe8,bgp_attr_print,836,CVE-2017-13046-patch-d10a0f980fe8-tcpdump
tcpdump,CVE-2017-13020,c5dd7bef5e54,vtp_print,114,CVE-2017-13020-patch-c5dd7bef5e54-tcpdump
tcpdump,CVE-2017-13007,ca336198e8be,pktap_if_print,31,CVE-2017-13007-patch-ca336198e8be-tcpdump
tcpdump,CVE-2017-12994,ffde45acf334,bgp_attr_print,836,CVE-2017-12994-patch-ffde45acf334-tcpdump
tcpdump,CVE-2018-14464,d97e94223720,lmp_print,466,CVE-2018-14464-patch-d97e94223720-tcpdump
tcpdump,CVE-2018-14464,d97e94223720,lmp_print_data_link_subobjs,36,CVE-2018-14464-patch-d97e94223720-tcpdump
tcpdump,CVE-2018-14462,1a1bce0526a7,icmp_print,232,CVE-2018-14462-patch-1a1bce0526a7-tcpdump
tcpdump,CVE-2017-13013,13ab8d18617d,atmarp_print,62,CVE-2017-13013-patch-13ab8d18617d-tcpdump
tcpdump,CVE-2017-13013,13ab8d18617d,isnonzero,7,CVE-2017-13013-patch-13ab8d18617d-tcpdump
tcpdump,CVE-2017-13013,13ab8d18617d,arp_print,72,CVE-2017-13013-patch-13ab8d18617d-tcpdump
tcpdump,CVE-2017-13013,13ab8d18617d,atmarp_addr_print,9,CVE-2017-13013-patch-13ab8d18617d-tcpdump
tcpdump,CVE-2017-13039,e0a5a02b0fc1,ikev1_t_print,60,CVE-2017-13039-patch-e0a5a02b0fc1-tcpdump
tcpdump,CVE-2017-13039,e0a5a02b0fc1,ikev1_n_print,155,CVE-2017-13039-patch-e0a5a02b0fc1-tcpdump
tcpdump,CVE-2017-13039,e0a5a02b0fc1,ikev2_t_print,69,CVE-2017-13039-patch-e0a5a02b0fc1-tcpdump
tcpdump,CVE-2017-13039,e0a5a02b0fc1,ikev1_attrmap_print,45,CVE-2017-13039-patch-e0a5a02b0fc1-tcpdump
tcpdump,CVE-2017-12893,6f5ba2b651cd,name_len,16,CVE-2017-12893-patch-6f5ba2b651cd-tcpdump
tcpdump,CVE-2017-13026,b20e1639dbac,isis_print_mt_capability_subtlv,68,CVE-2017-13026-patch-b20e1639dbac-tcpdump
tcpdump,CVE-2017-13026,b20e1639dbac,isis_print_mt_port_cap_subtlv,53,CVE-2017-13026-patch-b20e1639dbac-tcpdump
tcpdump,CVE-2017-13044,c2f6833dddec,dhcpv4_print,37,CVE-2017-13044-patch-c2f6833dddec-tcpdump
tcpdump,CVE-2018-16452,24182d959f66,smb_fdata,49,CVE-2018-16452-patch-24182d959f66-tcpdump
tcpdump,CVE-2017-13030,5dc1860d8267,pimv2_addr_print,81,CVE-2017-13030-patch-5dc1860d8267-tcpdump
tcpdump,CVE-2017-13030,5dc1860d8267,pim_print,17,CVE-2017-13030-patch-5dc1860d8267-tcpdump
tcpdump,CVE-2017-13030,5dc1860d8267,pimv1_print,90,CVE-2017-13030-patch-5dc1860d8267-tcpdump
tcpdump,CVE-2017-13030,5dc1860d8267,pimv1_join_prune_print,104,CVE-2017-13030-patch-5dc1860d8267-tcpdump
tcpdump,CVE-2017-13030,5dc1860d8267,pimv2_print,347,CVE-2017-13030-patch-5dc1860d8267-tcpdump
tcpdump,CVE-2017-13030,5dc1860d8267,cisco_autorp_print,78,CVE-2017-13030-patch-5dc1860d8267-tcpdump
tcpdump,CVE-2017-12989,db24063b01cb,resp_get_length,47,CVE-2017-12989-patch-db24063b01cb-tcpdump
libxml2,CVE-2013-1969,de0cc20c29cb,htmlParseChunk__internal_alias,40,CVE-2013-1969-patch-de0cc20-libxml2
libxml2,CVE-2017-5130,897dffbae322,xmlReallocLoc__internal_alias,34,CVE-2017-5130-patch-897dffb-libxml2
libxml2,CVE-2017-5130,897dffbae322,xmlMallocLoc__internal_alias,28,CVE-2017-5130-patch-897dffb-libxml2
libxml2,CVE-2017-5130,897dffbae322,xmlMemStrdupLoc__internal_alias,26,CVE-2017-5130-patch-897dffb-libxml2
libxml2,CVE-2017-16931,e26630548e7d,xmlParseNameComplex,205,CVE-2017-16931-patch-e266305-libxml2
libxml2,CVE-2016-1837,11ed4a7a90d5,htmlParseSystemLiteral,45,CVE-2016-1837-patch-11ed4a7-libxml2
libxml2,CVE-2016-1762,a7a94612aa3b,xmlParseInternalSubset,24,CVE-2016-1762-patch-a7a9461-libxml2
libxml2,CVE-2017-16932,899a5d9f0ed1,xmlPushInput__internal_alias,29,CVE-2017-16932-patch-899a5d9-libxml2
libxml2,CVE-2017-16932,899a5d9f0ed1,xmlParsePEReference__internal_alias,77,CVE-2017-16932-patch-899a5d9-libxml2
libxml2,CVE-2014-3660,72a46a519ce7,xmlParseReference__internal_alias,212,CVE-2014-3660-patch-72a46a5-libxml2
libxml2,CVE-2015-8241,ab2b9a93ff19,xmlParseMarkupDecl__internal_alias,42,CVE-2015-8241-patch-ab2b9a9-libxml2
libxml2,CVE-2017-7375,90ccb5824286,xmlParsePEReference__internal_alias,64,CVE-2017-7375-patch-90ccb58-libxml2
libxml2,CVE-2015-8710,e724879d964d,htmlParseComment,138,CVE-2015-8710-patch-e724879-libxml2
libxml2,CVE-2015-7498,afd27c21f6b3,xmlParseXMLDecl__internal_alias,91,CVE-2015-7498-patch-afd27c2-libxml2
libxml2,CVE-2015-7498,afd27c21f6b3,xmlParseDocument__internal_alias,116,CVE-2015-7498-patch-afd27c2-libxml2
libxml2,CVE-2015-7498,afd27c21f6b3,xmlSwitchEncoding__internal_alias,63,CVE-2015-7498-patch-afd27c2-libxml2
libxml2,CVE-2015-8242,8fb4a7700756,htmlParseTryOrFinish,413,CVE-2015-8242-patch-8fb4a77-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseCDSect,139,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseStringName,53,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseEntityValue,105,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseNCNameComplex,47,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseNameComplex,211,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlParseSystemLiteral,105,CVE-2022-40303-patch-c846986-libxml2
libxml2,CVE-2022-40303,c846986356fc,xmlFatalErr,75,CVE-2022-40303-patch-c846986-libxml2
