CVE,funcname,succeed,false_positive,false_negative,failed_versions,func_not_found,targets
CVE-2023-0217,ossl_ffc_validate_public_key_partial,0,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0286,GENERAL_NAME_cmp,0,,,OpenSSL_1_1_1s;3.0.7;OpenSSL_1_1_1r;3.0.8;OpenSSL_1_1_1t;3.1.0,,6
CVE-2023-0401,PKCS7_dataDecode,0,,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0401,pkcs7_bio_add_digest,0,,,,3.0.7;3.0.6;3.0.5;3.0.8;OpenSSL_1_1_1t;3.1.0,6
CVE-2023-0464,ossl_policy_level_add_node,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,ossl_policy_level_find_node,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_init,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_link_matching_nodes,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_link_nodes,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_link_any,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_evaluate,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_add_unmatched,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0464,tree_calculate_user_set,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-0465,check_policy,0,,,3.1.0;OpenSSL_1_1_1t;3.0.8;3.0.9;3.1.1;OpenSSL_1_1_1u,,6
CVE-2023-2650,OBJ_obj2txt,0,,,3.1.0;3.0.8;3.0.9;3.1.1,OpenSSL_1_1_1t;OpenSSL_1_1_1u,6
CVE-2023-2975,siv_cipher,0,,,,3.0.9;3.1.1;3.1.0;3.1.2;OpenSSL_1_1_1v;3.0.10,6
CVE-2023-3817,DH_check,0,,,3.0.9;3.1.1;OpenSSL_1_1_1u;3.1.2;OpenSSL_1_1_1v;3.0.10,,6
CVE-2023-5363,evp_cipher_init_internal,0,,,,3.1.3;3.0.11;3.1.2;3.1.4;3.0.12;beta1,6
CVE-2024-0727,newpass_p12,5,,,,3.0.12,6
CVE-2024-0727,SMIME_write_PKCS7,5,,,3.0.12,,6
CVE-2024-0727,pkcs12_gen_mac,5,,,,3.0.12,6
CVE-2024-0727,PKCS12_unpack_p7encdata,6,,,,,6
CVE-2024-0727,PKCS12_unpack_authsafes,2,,,3.0.12;3.1.4;3.0.13;3.1.5,,6
